B B
B1=CC=CC=[NH+]1 B1=[CH:1]C=CC=[NH+]1
B1C=CC=CN1 B1C=CC=C[NH:1]1
B1C=CC=CN1 B1C=[CH:1]C=CN1
B1C=CC=CN1 B1NC=CC=[CH:1]1
B1C=CC=CN1 B1NC=C[CH:1]=[CH:1]1
B1C=CC=CN1 C1=CN[BH:1]C=C1
B1C=CC=NN1 B1C=CC=N[NH:1]1
B1C=CC=NN1 B1C=[CH:1]C=NN1
B1C=CC=NN1 B1NN=CC=[CH:1]1
B1C=CC=NN1 B1NN=C[CH:1]=[CH:1]1
B1C=CCCN1 C1=C[BH:1]NCC1
B1C=CCCO1 B1C=[CH:1]CCO1
B1C=CCCO1 B1OCCC=[CH:1]1
B1C=CCCO1 B1OCC[CH:1]=[CH:1]1
B1C=CCO1 B1C=[CH:1]CO1
B1C=CCO1 B1OCC=[CH:1]1
B1C=CCO1 B1OC[CH:1]=[CH:1]1
B1CCC=NN1 B1CCC=N[NH:1]1
B1CCC=NN1 B1CC[CH:1]=NN1
B1CCC=NN1 B1C[CH2:1]C=NN1
B1CCC=NN1 B1NN=CC[CH2:1]1
B1CCC=NN1 B1NN=C[CH2:1][CH2:1]1
B1CCCC1 C1CC[BH:1]C1
B1CCCCCC1 C1CCC[BH:1]CC1
B1CCCCCO1 B1OCCCC[CH2:1]1
B1CCCCO1 B1CCC[CH2:1]O1
B1CCCCO1 B1CC[CH2:1]CO1
B1CCCCO1 B1C[CH2:1]CCO1
B1CCCCO1 B1OCCC[CH2:1]1
B1CCCCO1 B1OCC[CH2:1][CH2:1]1
B1CCCCO1 C1CC[BH:1]OC1
B1CCCO1 B1CC[CH2:1]O1
B1CCCO1 B1C[CH2:1]CO1
B1CCCO1 B1OCC[CH2:1]1
B1CCCO1 B1OC[CH2:1][CH2:1]1
B1CCCO1 C1CO[BH:1]C1
B1CCN=CN1 C1=NCC[BH:1]N1
B1CCN=CO1 B1C[CH2:1]N=CO1
B1CCN=CO1 B1OC=NC[CH2:1]1
B1CCN=CO1 B1OC=N[CH2:1][CH2:1]1
B1CCNC=N1 C1=N[BH:1]CCN1
B1CCNCN1 B1CCNC[NH:1]1
B1CCNCN1 B1CCN[CH2:1]N1
B1N=CS1 C1=N[BH:1]S1
B1NCCO1 B1N[CH2:1]CO1
B1NCCO1 C1CO[BH:1]N1
B1NCNCN1 B1NCNC[NH:1]1
B1OCC=NCCO1 B1OCC=N[CH2:1]CO1
B1OCC=NCCO1 B1OCCN=[CH:1]CO1
B1OCC=NCCO1 B1OC[CH:1]=[N:1][CH2:1]CO1
B1OCCCO1 B1OCC[CH2:1]O1
B1OCCCO1 B1OC[CH2:1]CO1
B1OCCCO1 B1OC[CH2:1][CH2:1]O1
B1OCCCO1 C1CO[BH:1]OC1
B1OCCNCCO1 B1OCC[NH:1]CCO1
B1OCCNCCO1 C1CO[BH:1]OCCN1
B1OCCO1 B1OC[CH2:1]O1
B1OCCO1 B1O[CH2:1][CH2:1]O1
B1OCCO1 C1CO[BH:1]O1
B1OCOCO1 C1OCO[BH:1]O1
B=O B=[O:1]
B=O O=[BH:1]
BBr Br[BH2:1]
BC B[CH3:1]
BC C[BH2:1]
BF B[F:1]
BF F[BH2:1]
BN B[NH2:1]
BN N[BH2:1]
BO B[OH:1]
BO O[BH2:1]
BP P[BH2:1]
C C
C#C C#[CH:1]
C#N C#[N:1]
C#N N#[CH:1]
C#[NH+] [NH+]#[CH:1]
C#[SH] C#[SH:1]
C1#CC1 C1#C[CH2:1]1
C1#CCCC#CCC=C1 C1#CCCC#CC[CH:1]=C1
C1#CCCC#CCC=C1 C1#CCCC#C[CH2:1]C=C1
C1#CCCC#CCC=C1 C1#CCCC#C[CH2:1][CH:1]=C1
C1#CCCC#CCCNCC=C1 C1#CCCC#CCCNC[CH:1]=C1
C1#CCCCCC#CC=C1 C1#CCCCCC#C[CH:1]=C1
C1#CCCCCC#CC=C1 C1#CCCC[CH2:1]C#CC=C1
C1#CCCCCC#CC=C1 C1#CCC[CH2:1]CC#CC=C1
C1#CCCCCC#CC=C1 C1#CC[CH2:1][CH2:1]CC#CC=C1
C1#CCCCCC#CC=C1 C1#CC[CH2:1][CH2:1][CH2:1]C#CC=C1
C1#CCCCCC#CC=C1 C1#C[CH:1]=[CH:1]C#CCCCC1
C1#CCCCCC#CCC1 C1#CCCC[CH2:1]C#CCC1
C1#CCCCCC#CCC1 C1#CCC[CH2:1]CC#CCC1
C1#CCCCCC#CCC1 C1#CC[CH2:1]C#CCCCC1
C1#CCCCCC#CCC1 C1#CC[CH2:1][CH2:1][CH2:1]C#CCC1
C1#CCCCCC#CCC1 C1#C[CH2:1][CH2:1]C#CCCCC1
C1#CCCCCCC1 C1#CCC[CH2:1]CCC1
C1#CCCCCCC1 C1#CCC[CH2:1][CH2:1]CC1
C1#CCCCCCC1 C1#C[CH2:1]CCCCC1
C1#CCCCCCC=CCCC1 C1#CCCCC[CH2:1]C=CCCC1
C1#CCCCCCCC#CCC=[NH+]CCCCCCCCC[NH2+]C=C1 C1#CCCCCCC[C:1]#CCC=[NH+]CCCCCCCCC[NH2+]C=C1
C1#CCCCCCCC#CCC=[NH+]CCCCCCCC[NH2+]C=C1 C1#CCCCCCC[C:1]#CC=C[NH2+]CCCCCCCC[NH+]=CC1
C1#CCCCCCCC#CCC=[NH+]CCCCCCC[NH2+]C=C1 C1#CCCCCCC[C:1]#CCC=[NH+]CCCCCCC[NH2+]C=C1
C1#CCCCCCCC#CCC=[NH+]CCCC[NH2+]C=C1 C1#CCCCCCC[C:1]#CC=C[NH2+]CCCC[NH+]=CC1
C1#CCCCCCCC=CCC1 C1#CC[CH2:1]C=CCCCCCC1
C1#CCCCCCCCCC#CCC=[NH+]CCCCCCCCCCC[NH2+]C=C1 C1#CCCCCCCCC[C:1]#CCC=[NH+]CCCCCCCCCCC[NH2+]C=C1
C1#CCCCCCCCCC#CCC=[NH+]CCCCCCCCCC[NH2+]C=C1 C1#CCCCCCCCC[C:1]#CC=C[NH2+]CCCCCCCCCC[NH+]=CC1
C1#CCCCCCCCCC#CCC=[NH+]CCCCCCCCC[NH2+]C=C1 C1#CCCCCCCCC[C:1]#CCC=[NH+]CCCCCCCCC[NH2+]C=C1
C1#CCCCCCCCCC#CCC=[NH+]CCCCCC[NH2+]C=C1 C1#CCCCCCCCC[C:1]#CC=C[NH2+]CCCCCC[NH+]=CC1
C1#CCCCCCCCCCCCCC=CC=C1 C1#CCCCCCCCCCCC[CH2:1]C=CC=C1
C1#CCCCCCCCCCCCCCC=CC1 C1#C[CH2:1]C=CCCCCCCCCCCCCC1
C1#CCCCCCCCCCCOCC=C1 C1#CCCCCCCCCCCO[CH2:1]C=C1
C1#CCCCOCCC=CCCCC1 C1#CC[CH2:1]COCCC=CCCCC1
C1#CCCCOCCC=CCCCC1 C1#C[CH2:1]CCOCCC=CCCCC1
C1#CCCCOCCC=CCCCC1 C1#C[CH2:1][CH2:1]COCCC=CCCCC1
C1#CCCNCC#CC=C1 C1#CCC[NH:1]CC#CC=C1
C1#CCCNCC#CCC1 C1#CCC[NH:1]CC#CCC1
C1#CCCNCC#CCC1 C1#CCNCC[C:1]#CCC1
C1#CCCNCC#CCC1 C1#CC[CH2:1]C#CCNCC1
C1#CCCNCC#CCC1 C1#C[CH2:1]CC#CCNCC1
C1#CCCNCC#CCC1 C1#C[CH2:1][CH2:1]C#CCNCC1
C1#CCCNCCC1 C1#CCC[NH:1]CCC1
C1#CCCOCCCOC=C1 C1#CCCOCCCO[CH:1]=C1
C1#CCCOCCCOC=C1 C1#C[CH:1]=COCCCOCC1
C1#CCCOCCCOC=C1 C1#C[CH:1]=[CH:1]OCCCOCC1
C1#CCCOCCCOCC1 C1#CC[CH2:1]OCCCOCC1
C1#CCCOCCCOCC1 C1#C[CH2:1]COCCCOCC1
C1#CCCOCCCOCC1 C1#C[CH2:1][CH2:1]OCCCOCC1
C1#CCCOCCOCCC#CCCOCCOCC1 C1#CCCOCCOCC[C:1]#CCCOCCOCC1
C1#CCNC=CC=[NH+]CCCCC[NH+]=CC=CNC1 C1#[C:1]CNC=CC=[NH+]CCCCC[NH+]=CC=CNC1
C1#CCNCCNCCNCCNCCOCC1 C1#CCNCCNCCNC[CH2:1]NCCOCC1
C1#CCNCCNCCNCCNCCOCC1 C1#CCNCCNC[CH2:1]NCCNCCOCC1
C1#CCOC=CCOCC#CC=C1 C1#CCOC=CCOCC#[C:1]C=C1
C1#CCOC=CCOCC#CC=C1 C1#CCOC=C[CH2:1]OCC#CC=C1
C1#CCOC=CCOCC#CC=C1 C1#CCOCC=[CH:1]OCC#CC=C1
C1#CCOC=CCOCC#CC=C1 C1#CCO[CH:1]=[CH:1][CH2:1]OCC#CC=C1
